VIN,TRANSACTION_ID,CORRECTION_VERBATIM,CUSTOMER_VERBATIM,REPAIR_DATE,CAUSAL_PART_NM,GLOBAL_LABOR_CODE_DESCRIPTION,PLATFORM,BODY_STYLE,VPPC,PLANT,BUILD_COUNTRY,LAST_KNOWN_DLR_NAME,LAST_KNOWN_DLR_CITY,REPAIRING_DEALER_CODE,DEALER_NAME,REPAIR_DLR_CITY,STATE,DEALER_REGION,REPAIR_DLR_POSTAL_CD,REPAIR_AGE,KM,COMPLAINT_CD,VEH_TEST_GRP,COUNTRY_SALE_ISO,ORD_SELLING_SRC_CD,OPTN_FAMLY_CERTIFICATION,OPTF_FAMLY_EMISSIOF_SYSTEM,GLOBAL_LABOR_CODE,TRANSACTION_CATEGORY,REPORTING_COST,TOTALCOST,LBRCOST,ENGINE,ENGINE_DESC,TRANSMISSION,TRANSMISSION_DESC,ENGINE_SOURCE_PLANT,ENGINE_TRACE_NBR,TRANSMISSION_SOURCE_PLANT,TRANSMISSION_TRACE_NBR,SRC_TXN_ID,SRC_VER_NBR,MEDIA_FLAG,VIN_MODL_DESGTR,LINE_SERIES,LAST_KNOWN_DELVRY_TYPE_CD,NON_CAUSAL_PART_QTY,SALES_REGION_CODE,VCL_MODL,REPAIR_EXPENSES,ISSUE_CATEGORY,SOLUN_ACTN_CATEGORY
1HYKSMRK4SZ001121,13025,replaced steering wheel asmy,(install special order part) customer states the right side steering wheel super cruise plastic cover is lifting up and not secure.pra 491752600000,01-10-2024,WHEEL ASM-STRG *BACKEN BLACKK,Steering Wheel Replacement,BEV,4 Door Utility,L233-LSOP,SHT,US,Velocity Auto Group,LAS VEGAS,13-20095/114568,LuxeCar Dealership,ONTARIO,CA,1,917644452,6,"12,628",0-0312,T00.0006,US,12,YF5,FF6,130,FREG,1414.83,1414.83,95.5,EN0,NONE,MF1,NONE,,,,,2809291177,6,N,6MB26,Lux-1,10.0,0,1,"6MB26, Lux-1",1510.33,Component Loose Fitting,Component Replaced
1H6DS5RK6S0127345,13025,replaced heated steering wheel,customer states heated steering wheel isnt working,01-10-2024,WHEEL ASM-STRG *BLACK,Steering Wheel Replacement,Luxury Car-3,4 Door Sedan,A2LL,LGR,US,Redwood Motor Co.,JONESBORO,13-17211/111427,CityStar Motors,POPLAR BLUFF,MO,1,639015525,12,"19,743",0-0310,V02.0041,US,12,FE9,FTB,130,FREG,562.5,562.5,85.86,LSY,"GAS, 4 CYL, L4, 2.0L, SIDI, DOHC, VVT, ALUM, TURB O, VAR 3",MQ2,"BYT 10 SPD, 10L60, GEN 1, ATSS, ETRS, VAR 1",830107152,N1221292JU7X2198,287827.0,S1221112QRJX2178,2809244294,20,Y,6DC79,Luxury,10.0,0,1,"6DC79, Luxury",648.36,Failure,Component Replaced
1HC4YSEY3RF110164,13023,checked and verified customer concern and found trim piece loose remov ed replaced trim piece on the back of the passenger side ofsteering w heel complete,customer states steering wheel conrol passenger side rear on the steer ing wheel is loose sop part,01-10-2024,COVER-STRG WHL AIRBAG ACC HOLE *JET BLACK,Steering Wheel Spoke Cover Replacement,Full-Size Trucks,Crew Cab,T1CCH,FLT,US,Titan Cars,CORTLAND,13-28690/113578,Velocity Vehicle Sales,CORTLAND,OH,1,444101448,9,"17,675",0-0316,D06.6385,US,13,NE1,FUM,50,FREG,63.1,63.1,61.27,L5P,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1",MGM,"BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",79253428,R2210714JFHX0992,8042172.0,Y0210111MKFX0928,2809282189,2,N,CF20743,2500,16.0,0,1,"CF20743, 2500",124.37,Component Loose Fitting,Component Replaced
1HKS1JKL0SR282668,13024,"verified customer concern about a horn inop. i followed document 4374183 to diagnose this concern. i monitored scan tool data forthe horn activation while pressing the horn and it was changing intermittently. i then tested circuits 3287 at the steering wheelfor a short and all was ok, i then tested circuit 6051 and ground circuit had no high resistance. i then tested terminal tension onthe steering wheel harness and found loose tension on the horn connection and required a harness replacement i then replaced thesteering wheel harness. after repairs, the vehicle is now honking as designed",customer states ck horn on the steering wheel only works in the middle on the side it does no work,01-11-2024,HARNESS ASM-STRG WHL HORN SW WRG,Steering Wheel Horn Switch Wiring Harness Replacement,Full-Size Utility,4 Door Utility,T1YGF,ARL,US,UrbanCar Dealership,RIO GRANDE CITY,13-30014/114870,Crestwood Auto,RIO GRANDE CITY,TX,1,785824821,10,"21,295",0-0310,T06.2375,US,48,FE9,FTB,20,FREG,275.55,457.225,202.67,L87,"GAS, 8 CYL, V8, 6.2L, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",249196973,K2210291MFYX0999,287827.0,S2210212CCJX0718,2809298492,2,N,TC10906,1500,10.0,0,1,"TC10906, 1500",659.895,Failure,Component Replaced
1HC4Y9EY2MF192148,13026,steering wheel replacement,???????? ?????? ??????????,01-11-2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCH,FLT,US,Regal Ride Motors,LOD,72-73421/159921,GoldenRoad Motors,KIRYAT GAT,,4,,33,"1,07,905",0-0890,D06.6385,IL,72,FE9,FTB,130,FREG_POL,221.83,221.83,28.0,L5P,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1",MGM,"BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",79253428,R2220282JRHX0409,8042172.0,Y0220280MKFX0292,2809489112,2,N,CF20743,2500,18.0,0,4,"CF20743, 2500",249.83,Other,Component Replaced
1H1FZ6S00N4109597,13025,"replace steering wheel check ok 1699-,0130","heated steering wheel inop. when you hit the button on it turns off immediately. when remote starting it, it will turn light on butnever heat up. - ro 6124563 - ro 6126117 - dave - pra #495554400000",01-11-2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Global Gamma,4 Door Sedan,C121,ORI,US,Capital Car Dealers,DAVISON,13-44014/115093,TrueDrive Auto,CLARKSTON,MI,1,48348,17,"42,079",0-0890,V00.0002,US,13,FE9,FT7,130,FREG,411.47,457.47,62.02,EN0,NONE,MMF,"BYT, ELECTRIC, GM, GEM, GEN 2, DRIVE UNIT, X68F",,,,,2809122794,4,N,1FG48,Premier,21.0,0,1,"1FG48, Premier",519.49,Component Loose Fitting,Component Replaced
1HNEVKKW6SJ216435,13025,installed special ordered steering wheel due to threads fraying on whe el 0130 .4 629,steering wheel fraying parts are in,01-11-2024,WHEEL ASM-STRG * JET BLACK,Steering Wheel Replacement,Crossover SUV,4 Door Utility,C1YC,DEL,US,Prestige Wheels,SAGINAW,13-44196/300736,Titan Motors Group,SAGINAW,MI,1,486031297,10,"17,774",0-0890,T03.6151,US,13,FE9,FTB,130,FREG,395.44,395.44,50.27,LFY,"GAS, 6 CYL, V6, 3.6L, SIDI, DOHC, ATSS, GEN 1+",M3V,"BYT 9 SPD, 9T65, GEN 1",K,210490972,822972980.0,21210129IKBP0429,2809298112,4,N,1NX56,Premier,21.0,0,1,"1NX56, Premier",445.71,Component Loose Fitting,Repaired
1HR49WEY2NF322460,13024,"reconnected horn checked operation, ok.",added operation horn doesnt work hasnt worked since brand new tech cause horn connector not fully seated on harn assembly anddisconnected tech comments reconnected horn checked operation ok,01-11-2024,N/A,Steering Wheel Horn Switch Wiring Harness Replacement,Full-Size Trucks,Crew Cab,T1CGH,FLT,US,GoldStar Autos,EDMONTON,14-82489/320243,BlueSky Auto Sales,EDMONTON,AB,1,T5E4C7,20,"34,161",0-0621,D06.6385,CA,14,FE9,FTB,20,FREG,30.09,31.6,31.6,L5P,"DIESEL, 8 CYL, 6.6L, DI, V8, TURBO, DURAMAX, GEN 5 VAR. 1",MGM,"BYT 10 SPD, 10R1000, GRX, GEN 1, VAR 1",79253428,R2222412MU9X0781,8042172.0,Y0222190MKFX0498,2809222282,2,N,TF30743,3500,18.0,0,1,"TF30743, 3500",63.2,Other,Repaired
3HRFFCER3NH528824,13025,"pra approved, pra #495794600000 found the steering wheel to be coming apart. replaced the steering wheel. verified repair.",customer states stitching on steering wheel is coming undone on the ri ght side,01-11-2024,WHEEL ASM-STRG *BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CGF,SIL,MX,Infinite Motors,HENDERSON,11-11457/116555,MetroMax Motors,DALLAS,TX,1,752093016,22,"34,260",0-0890,T03.0353,US,48,FE9,FTB,130,FREG,621.34,621.34,107.28,LM2,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, AL UM, CSS50V",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",70628511,V2220472CVCX0021,287827.0,S1220791CNJX0210,2809294191,4,N,TF10543,1500,10.0,0,1,"TF10543, 1500",728.62,Component Loose Fitting,Component Replaced
1HYKNDR46NZ151056,13025,replaced steering wheel trim ring,customer states chrome trim on steering wheel is cracked,01-12-2024,COVER-STRG WHL SPOKE *LINEAR GALAXD,Steering Wheel Spoke Cover Replacement,Global Crossover Vehicles,4 Door Utility,C1UL,SHT,US,Platinum Auto Co.,INDIANA,12-20573/117099,Crystal Drive Auto,INDIANA,PA,1,157012061,21,"24,129",0-0313,T02.0500,US,12,NE1,FUG,50,FREG,386.62,386.62,51.75,LSY,"GAS, 4 CYL, L4, 2.0L, SIDI, DOHC, VVT, ALUM, TURB O, VAR 3",M3G,"BYT 9 SPD, 9T60, ETRS GEN 1",830107152,N2220942JUHX0982,822972980.0,21220170VHBP0421,2809179492,26,N,6NH26,Premium Luxury,10.0,0,1,"6NH26, Premium Luxury",438.37,Component Loose Fitting,Component Replaced
1HNEVNKW4SJ144359,13025,leather pulling away from wheel 0130 0.40 replacedsteering wheel pre auth 488737400000,customer states the leather on steering wheel is coming apart - sophere,01-12-2024,WHEEL ASM-STRG * JET BLACK,Steering Wheel Replacement,Crossover SUV,4 Door Utility,C1YC,DEL,US,SwiftCar Traders,WEATHERFORD,13-07367/112288,EliteStreet Motors,WEATHERFORD,TX,1,760878773,15,"35,914",0-0312,T03.6151,US,13,,FTB,130,FREG,436.5,436.5,56.87,LFY,"GAS, 6 CYL, V6, 3.6L, SIDI, DOHC, ATSS, GEN 1+",M3V,"BYT 9 SPD, 9T65, GEN 1",K,222940921,822972980.0,22222109IKBP2899,2809184401,4,Y,1NX56,High Country,10.0,0,1,"1NX56, High Country",493.37,Component Loose Fitting,Component Replaced
3HRS9EED0LH255650,13025,"steering wheel spoke cover, per goodwill assistance, customer has a deductible of $86.45",customer states the steering wheel bezel is peeling.,01-12-2024,APPLIQUE ASM-STRG WHL TR SPOKE CVR *VULCAN,Steering Wheel Spoke Cover Replacement,Full-Size Trucks,Crew Cab,T1CGF,SIL,MX,NextGen Motors,VALDOSTA,13-26192/159183,LibertyRide Auto,VALDOSTA,GA,1,316026802,47,"59,192",0-0890,LGMXT05.3386,US,48,FE9,FTB,50,FREG_POL,214.4,214.4,78.0,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MQB,"BYT 10 SPD, 10L80, ATSS, CPA, GEN 2",812040194,A2200220HGUX2088,287827.0,S2200210BKJX2982,2809182089,8,Y,TF10543,1500,10.0,0,1,"TF10543, 1500",292.4,Poor Quality Component,Other
1HKS2JKR2NR336997,13073,replaced steering wheel no further action required.,customer states steering wheels stiching coming apart,01-12-2024,WHEEL ASM-STRG *VERY DARK AT,Steering Wheel Replacement,Full-Size Utility,4 Door Utility,T1YGF,ARL,US,Liberty Drive,MIAMI,13-26329/312777,Highlander Car Sales,HOMESTEAD,FL,1,330341829,18,"32,616",0-0890,T03.0353,US,48,FE9,FTB,130,FREG,454.63,454.63,73.62,LM2,"DIESEL, 6 CYL, 3.0L, CRI, L6, DOHC, TURBO, VGT, AL UM, CSS50V",MQC,"BYT 10 SPD, 10L80, ATSS, ETRS, CPA, GEN 2",70628511,V2222922CVCX0009,287827.0,S1222471CNJX0228,2821704292,8,N,TF10906,1500,10.0,0,1,"TF10906, 1500",528.25,Component Loose Fitting,Component Replaced
1HCFDEED3SZ308171,13037,replaced steering wheel,wrap on the steeering wheel is peeling ***need pra done by management****,01-12-2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,FTW,US,DreamCars Auto,GRAND FORKS,13-04703/111708,HorizonView Auto,GRAND FORKS,ND,1,582016720,4,"8,678",0-0312,T05.3386,US,13,FE9,FTB,130,FREG,456.98,456.98,69.06,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",2127157,T2212491MF1X0970,17749294.0,R2210822CKJX0278,2820422129,4,Y,CF10543,1500,10.0,0,1,"CF10543, 1500",526.04,Poor Quality Component,Component Replaced
1HYKNHRS1LZ157005,13025,replace steering wheel switch trim (sop part before warranty expiratio n),c/s carbon fiber applique on steering wheel is peeling off. sop in,01-12-2024,COVER-STRG WHL SPOKE *HI GLOSS V-C,Steering Wheel Spoke Cover Replacement,Global Crossover Vehicles,4 Door Utility,C1UL,SHT,US,Legacy Vehicle Sales,CLEARWATER,12-21098/169196,RapidRoad Motors,PINELLAS PARK,FL,1,337812655,50,"56,575",0-0312,LGMXT03.6151,US,12,FE9,FTB,50,FREG_POL,695.8,695.8,57.26,LGX,"GAS, 6 CYL, 3.6L, V6, DI, DOHC, VVT, ALUM, GEN 2",M3W,"TRANSMISSION BYT 9 SPD, 9T65, ETRS GEN 1",37749264,W2291470HYBX0492,822972980.0,22291280KKBP2422,2809272972,4,Y,6NJ26,Sport,37.0,0,1,"6NJ26, Sport",753.06,Poor Quality Component,Component Replaced
1HCFYEED6NZ182017,13040,0130 labor 0.4 -removed and replaced steering wheel with correct unit. verified operation.,trim or moulding diagnosis trim or moulding diagnosis - c/s: customer request ed to install correct steering wheel per sop - prevro 6012971,01-15-2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,FTW,US,Summit Car Trading,CASTLE ROCK,13-36101/314339,CrownCar Dealership,CASTLE ROCK,CO,1,801041922,23,"24,983",0-0312,T05.3386,US,13,FE9,FTB,130,FREG,299.77,299.77,91.4,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MQE,"BYT 8 SPD, 8L90, ATSS, CPA, GEN 1",249196973,K2220222JW9X1892,8042172.0,B2220222XNLX9720,2809401941,6,N,CF18543,1500,10.0,0,1,"CF18543, 1500",391.16999999999996,Component Loose Fitting,Component Replaced
1HCFDEED5SZ117691,13025,"per last repair order, replaced steering wheel. pra#493156300000",install sop. customer states stitching on steering wheel is coming apart,01-15-2024,WHEEL ASM-STRG *JET BLACK,Steering Wheel Replacement,Full-Size Trucks,Crew Cab,T1CCF,FTW,US,Oakwood Motors,BOLINGBROOK,13-11298/227245,NorthStar Wheels,BOLINGBROOK,IL,1,604403522,12,"24,925",0-0890,T05.3386,US,13,,FTB,130,FREG,432.68,432.68,113.09,L84,"GAS, 8 CYL, 5.3L, V8, DI, DFM, ALUM, GEN 5",MHS,"BYT 10 SPD, 10L80, GRX, GEN 1, ATSS, ETRS, VAR 1",2127157,T1222871MF1X0294,17749294.0,R2222892CKJX0778,2809189012,4,N,CF10543,1500,10.0,0,1,"CF10543, 1500",545.77,Component Loose Fitting,Component Replaced
